10-04-2013 08:22:45:450, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:22:44:780, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:22:44:580, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:22:44:060, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:22:44:000, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:22:40:480, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:22:40:330, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:22:39:770, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:22:39:660, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:22:35:540, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:22:35:150, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:22:33:890, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:22:33:830, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:21:52:850, INFORMATION, webs_req_task0, SET ANTENNA TRACKING OFF set by Dealer, MXP,,,
10-04-2013 08:21:52:840, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:21:37:530, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:21:37:210, INFORMATION, webs_req_task1, SET SYSTEM RETARGET  set by Dealer, MXP,,,
10-04-2013 08:20:14:910, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:20:14:490, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:20:13:830, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: OFF, MXP,,,
10-04-2013 08:20:13:630, INFORMATION, RemoteSystemStat_ta, AGC Below Threshold: ON, MXP,,,
10-04-2013 08:20:13:310, INFORMATION, webs_req_task1, SET ANTENNA AZ_TARGET 159.0 set by Dealer, MXP,,,
10-04-2013 08:18:54:210, INFORMATION, webs_req_task1, SET SATELLITE DESCRIPTION HOTBIRD 13E set by Dealer, MXP,,,
10-04-2013 08:18:54:190, INFORMATION, webs_req_task1, SET SATELLITE BAND 2 set by Dealer, MXP,,,
10-04-2013 08:18:50:780, INFORMATION, webs_req_task1, SET SATELLITE TX_POL V set by Dealer, MXP,,,
10-04-2013 08:18:46:680, INFORMATION, webs_req_task0, SET SYSTEM RETARGET  set by Dealer, MXP,,,
10-04-2013 08:18:46:660, INFORMATION, webs_req_task1, SET SATELLITE FREQ 1265.000 set by Dealer, MXP,,,
10-04-2013 08:18:46:650, INFORMATION, webs_req_task0, SET SATELLITE SEARCH_PATTERN SKY_SEARCH set by Dealer, MXP,,,
10-04-2013 08:18:46:630, INFORMATION, webs_req_task1, SET SATELLITE LON 13.0 E set by Dealer, MXP,,,
10-04-2013 08:18:44:750, INFORMATION, CLI_LinkComm_task, Initializing: OFF, MXP,,,
10-04-2013 08:18:11:960, INFORMATION, webs_req_task0, SET SATELLITE DESCRIPTION ASTRA 19E set by Dealer, MXP,,,
10-04-2013 08:18:11:940, INFORMATION, webs_req_task0, SET SATELLITE BAND 4 set by Dealer, MXP,,,
10-04-2013 08:18:11:910, INFORMATION, webs_req_task0, SET SATELLITE TX_POL H set by Dealer, MXP,,,
10-04-2013 08:18:07:870, INFORMATION, webs_req_task0, SET SATELLITE FREQ 1436.000 set by Dealer, MXP,,,
10-04-2013 08:18:03:820, INFORMATION, webs_req_task1, SET SATELLITE SEARCH_PATTERN SPIRAL set by Dealer, MXP,,,
10-04-2013 08:18:03:810, INFORMATION, webs_req_task0, SET SATELLITE LON 19.2 E set by Dealer, MXP,,,
10-04-2013 08:17:39:250, INFORMATION, Initialization_Task, Power On Self Test: Success., ICU,,,
10-04-2013 08:17:26:220, INFORMATION, SFS Task, Boot Loader Revision 1.0.9.1, ICU,,,
10-04-2013 08:17:49:310, ERROR, RemoteSystemStat_ta, System Serial Number Mismatch: ON, MXP,,,
10-04-2013 08:17:49:140, ERROR, LinkClient_task, System Serial Number Mismatch: ON, MXP,,,
10-04-2013 08:17:49:130, ERROR, LinkClient_task, System Serial Number Mismatch: OFF, MXP,,,
10-04-2013 08:17:26:220, INFORMATION, SFS Task, Build 1.02m, ICU,,,
10-04-2013 08:17:26:220, INFORMATION, SFS Task, System Start, ICU,,,
10-04-2013 08:17:50:500, WARNING, LinkClient_task, MXP-ICU Link Error: OFF, MXP,,,
10-04-2013 08:17:16:130, WARNING, LinkServer_task, MXP-ICU Link Error: ON, MXP,,,
10-04-2013 08:17:15:900, WARNING, NetTask, Socket 16 TCP keepalive timeout, remote IP 10.197.173.223, remote port 1153, local port 55000, MXP
10-04-2013 08:17:15:900, WARNING, NetTask, Socket 8 TCP keepalive timeout, remote IP 10.197.173.223, remote port 65432, local port 1135, MXP
10-04-2013 08:17:15:340, WARNING, NetTask, Socket 13 TCP keepalive timeout, remote IP 10.197.173.223, remote port 55000, local port 1136, MXP
10-04-2013 08:13:46:000, WARNING, NetTask, Socket 5 TCP keepalive timeout, remote IP 10.197.173.211, remote port 55000, local port 1152, ICU
10-04-2013 08:14:33:980, ERROR, RemoteSystemStat_ta, System Serial Number Mismatch: ON, MXP,,,
10-04-2013 08:13:45:400, WARNING, NetTask, Socket 11 TCP keepalive timeout, remote IP 10.197.173.211, remote port 1135, local port 65432, ICU
10-04-2013 08:14:33:920, ERROR, RemoteSystemStat_ta, System Serial Number Mismatch: OFF, MXP,,,
10-04-2013 08:14:33:880, ERROR, LinkClient_task, System Serial Number Mismatch: ON, MXP,,,
10-04-2013 08:13:44:000, WARNING, NetTask, Socket 12 TCP keepalive timeout, remote IP 10.197.173.211, remote port 1136, local port 55000, ICU
10-04-2013 08:14:17:840, INFORMATION, Initialization_Task, Power On Self Test: Success., MXP,,,
10-04-2013 08:14:17:840, INFORMATION, Initialization_Task, Power On Self Test: SFP device is not connected., MXP,,,
10-04-2013 08:14:03:100, INFORMATION, SFS Task, Boot Loader Revision 1.0.9.1, MXP,,,
10-04-2013 08:14:03:100, INFORMATION, SFS Task, Build 1.02m, MXP,,,
10-04-2013 08:14:03:100, INFORMATION, SFS Task, System Start, MXP,,,
